order_id,order_date,customer_id,customer_name,customer_region,product_category,product_name,quantity,unit_price,discount,shipping_cost,payment_method
1001,2024-01-03,C101,Amara Okafor,Lagos,Electronics,Bluetooth Earbuds,1,12500,0.05,500,Card
1002,2024-01-05,C102,Chidi Nwosu,Abuja,Clothing,Men's Polo Shirt,3,4500,0.10,350,Transfer
1003,2024-01-07,C103,Fatima Bello,Kano,Home & Kitchen,Non-stick Frying Pan,2,7800,0.00,400,Card
1004,2024-01-09,C104,Emeka Eze,Lagos,Electronics,Phone Charger (Fast),2,3200,0.05,500,Cash
1005,2024-01-12,C105,Ngozi Adeyemi,Port Harcourt,Beauty,Moisturizing Cream,4,2100,0.15,300,Card
1006,2024-01-14,C101,Amara Okafor,Lagos,Clothing,Women's Gown,1,18500,0.10,500,Card
1007,2024-01-17,C106,Uche Obi,Enugu,Books,Python for Beginners,2,5500,0.00,350,Transfer
1008,2024-01-20,C107,Halima Yusuf,Kano,Home & Kitchen,Blender,1,22000,0.05,600,Card
1009,2024-01-22,C108,Tunde Adewale,Lagos,Electronics,Wireless Mouse,1,8900,0.00,500,Card
1010,2024-01-25,C109,Chisom Okeke,Onitsha,Beauty,Lipstick Set,3,1800,0.10,300,Cash
1011,2024-01-28,C110,Musa Ibrahim,Kaduna,Clothing,Ankara Fabric (2yds),5,3500,0.05,350,Transfer
1012,2024-02-01,C102,Chidi Nwosu,Abuja,Electronics,USB Hub,1,6500,0.00,400,Transfer
1013,2024-02-04,C111,Blessing Agu,Owerri,Home & Kitchen,Throw Pillows (2-pack),2,4200,0.10,350,Card
1014,2024-02-06,C112,Abubakar Sani,Kano,Books,Data Science Handbook,1,8900,0.00,350,Card
1015,2024-02-09,C103,Fatima Bello,Kano,Beauty,Shea Butter (500g),6,1200,0.15,300,Cash
1016,2024-02-11,C113,Olu Bankole,Lagos,Electronics,Smart Watch,1,45000,0.10,500,Card
1017,2024-02-14,C114,Ifunanya Nwachukwu,Anambra,Clothing,Children's Dress,2,3800,0.00,350,Transfer
1018,2024-02-17,C105,Ngozi Adeyemi,Port Harcourt,Home & Kitchen,Electric Kettle,1,15500,0.05,400,Card
1019,2024-02-19,C115,Yusuf Garba,Sokoto,Books,Accounting Principles,1,7200,0.00,350,Transfer
